,Unnamed: 0,Unnamed: 0.1,Year/Month,Latitude,Longitude,Max Temperature (mean)
0,0,0,2013-01,38.252665,-85.75845600000002,39.23563870967732
1,1,1,2013-02,38.252665,-85.75845600000002,38.26691535150634
2,2,2,2013-03,38.252665,-85.75845600000002,41.91856799037309
3,3,3,2013-04,38.252665,-85.75845600000002,59.849450402144726
4,4,4,2013-05,38.252665,-85.75845600000002,69.48723684210519
5,5,5,2013-06,38.252665,-85.75845600000002,76.66307171853863
6,6,6,2013-07,38.252665,-85.75845600000002,77.07923381770136
7,7,7,2013-08,38.252665,-85.75845600000002,78.14253968253973
8,8,8,2013-09,38.252665,-85.75845600000002,72.79389416553596
9,9,9,2013-10,38.252665,-85.75845600000002,59.8246666666666
10,10,10,2013-11,38.252665,-85.75845600000002,45.60333333333317
11,11,11,2013-12,38.252665,-85.75845600000002,39.74496212121214
12,12,12,2014-01,38.252665,-85.75845600000002,29.883333333333397
13,13,13,2014-02,38.252665,-85.75845600000002,34.150289256198285
14,14,14,2014-03,38.252665,-85.75845600000002,44.072645914396944
15,15,15,2014-04,38.252665,-85.75845600000002,61.713684210526196
16,16,16,2014-05,38.252665,-85.75845600000002,70.7393506493506
17,17,17,2014-06,38.252665,-85.75845600000002,78.92650552486184
18,18,18,2014-07,38.252665,-85.75845600000002,77.0567767503301
19,19,19,2014-08,38.252665,-85.75845600000002,78.23188802083345
20,20,20,2014-09,38.252665,-85.75845600000002,71.34327372764788
21,21,21,2014-10,38.252665,-85.75845600000002,60.01836842105257
22,22,22,2014-11,38.252665,-85.75845600000002,42.3259259259258
23,23,23,2014-12,38.252665,-85.75845600000002,41.452288557213784
24,24,24,2015-01,38.252665,-85.75845600000002,34.196871008939965
25,25,25,2015-02,38.252665,-85.75845600000002,28.80649717514121
26,26,26,2015-03,38.252665,-85.75845600000002,46.8144938271606
27,27,27,2015-04,38.252665,-85.75845600000002,60.339417989417974
28,28,28,2015-05,38.252665,-85.75845600000002,70.79553928095869
29,29,29,2015-06,38.252665,-85.75845600000002,76.95018842530284
30,30,30,2015-07,38.252665,-85.75845600000002,79.23023136246789
31,31,31,2015-08,38.252665,-85.75845600000002,76.30389473684211
32,32,32,2015-09,38.252665,-85.75845600000002,73.44399456521744
33,33,33,2015-10,38.252665,-85.75845600000002,60.65282970550576
34,34,34,2015-11,38.252665,-85.75845600000002,52.885458167330675
35,35,35,2015-12,38.252665,-85.75845600000002,50.156145966709396
36,36,36,2016-01,38.252665,-85.75845600000002,34.149500657030174
37,37,37,2016-02,38.252665,-85.75845600000002,40.9671038251366
38,38,38,2016-03,38.252665,-85.75845600000002,54.32952319587631
39,39,39,2016-04,38.252665,-85.75845600000002,59.920231923601705
40,40,40,2016-05,38.252665,-85.75845600000002,65.76866580310876
41,41,41,2016-06,38.252665,-85.75845600000002,78.93505494505497
42,42,42,2016-07,38.252665,-85.75845600000002,80.40153342070775
43,43,43,2016-08,38.252665,-85.75845600000002,80.6913306982873
44,44,44,2016-09,38.252665,-85.75845600000002,75.4652876712328
45,45,45,2016-10,38.252665,-85.75845600000002,66.13726666666659
46,46,46,2016-11,38.252665,-85.75845600000002,52.85929460580906
47,47,47,2016-12,38.252665,-85.75845600000002,39.03257142857138
48,48,48,2017-01,38.252665,-85.75845600000002,42.981728081321336
49,49,49,2017-02,38.252665,-85.75845600000002,49.1925877192981
50,50,50,2017-03,38.252665,-85.75845600000002,50.92472584856379
51,51,51,2017-04,38.252665,-85.75845600000002,65.1059594594594
52,52,52,2017-05,38.252665,-85.75845600000002,68.30453125000001
53,53,53,2017-06,38.252665,-85.75845600000002,76.41812071330584
54,54,54,2017-07,38.252665,-85.75845600000002,81.03310118265439
55,55,55,2017-08,38.252665,-85.75845600000002,77.20235761589396
56,56,56,2017-09,38.252665,-85.75845600000002,70.88984126984131
57,57,57,2017-10,38.252665,-85.75845600000002,61.82163636363639
58,58,58,2017-11,38.252665,-85.75845600000002,49.74663978494613
59,59,59,2017-12,38.252665,-85.75845600000002,37.955831168831025
